collection_site,activity,time
31,Mobbing ground with broom,0
31,Closing  trunk,6
32,Parking,15
32,Opening trunk,14
32,Collecting & Loading of small trash,39
32,Slit-Container: Emptying,48
32,Slit-Container: Sack Replacement,38
32,Recycling,0
32,Cleaning ground,0
32,Cleaing oil station,0
32,Mobbing ground with broom,89
32,Closing  trunk,5
33,Parking,45
33,Opening trunk,12
33,Collecting & Loading of small trash,202
33,Slit-Container: Emptying,41
33,Slit-Container: Sack Replacement,64
33,Recycling,0
33,Cleaning ground,0
33,Cleaing oil station,0
33,Mobbing ground with broom,20
33,Closing  trunk,5
34,Parking,12
34,Opening trunk,13
34,Collecting & Loading of small trash,207
34,Slit-Container: Emptying,76
34,Slit-Container: Sack Replacement,27
34,Recycling,10
34,Cleaning ground,0
34,Cleaing oil station,0
34,Mobbing ground with broom,0
34,Closing  trunk,4
35,Parking,23
35,Opening trunk,12
35,Collecting & Loading of small trash,98
35,Slit-Container: Emptying,25
35,Slit-Container: Sack Replacement,27
35,Recycling,0
35,Cleaning ground,0
35,Cleaing oil station,0
35,Mobbing ground with broom,0
35,Closing  trunk,3
36,Parking,4
36,Opening trunk,15
36,Collecting & Loading of small trash,60
36,Slit-Container: Emptying,38
36,Slit-Container: Sack Replacement,29
36,Recycling,15
36,Cleaning ground,0
36,Cleaing oil station,0
36,Mobbing ground with broom,0
36,Closing  trunk,4
37,Parking,14
37,Opening trunk,11
37,Collecting & Loading of small trash,21
37,Slit-Container: Emptying,47
37,Slit-Container: Sack Replacement,21
37,Recycling,0
37,Cleaning ground,0
37,Cleaing oil station,0
37,Mobbing ground with broom,0
37,Closing  trunk,5
38,Parking,NA
38,Opening trunk,NA
38,Collecting & Loading of small trash,NA
38,Slit-Container: Emptying,NA
38,Slit-Container: Sack Replacement,NA
38,Recycling,NA
38,Cleaning ground,NA
38,Cleaing oil station,NA
38,Mobbing ground with broom,NA
38,Closing  trunk,NA
39,Parking,NA
39,Opening trunk,NA
39,Collecting & Loading of small trash,NA
39,Slit-Container: Emptying,NA
39,Slit-Container: Sack Replacement,NA
39,Recycling,NA
39,Cleaning ground,NA
39,Cleaing oil station,NA
39,Mobbing ground with broom,NA
39,Closing  trunk,NA
40,Parking,NA
40,Opening trunk,NA
40,Collecting & Loading of small trash,NA
40,Slit-Container: Emptying,NA
40,Slit-Container: Sack Replacement,NA
40,Recycling,NA
40,Cleaning ground,NA
40,Cleaing oil station,NA
40,Mobbing ground with broom,NA
40,Closing  trunk,NA
41,Parking,NA
41,Opening trunk,NA
41,Collecting & Loading of small trash,NA
41,Slit-Container: Emptying,NA
41,Slit-Container: Sack Replacement,NA
41,Recycling,NA
41,Cleaning ground,NA
41,Cleaing oil station,NA
41,Mobbing ground with broom,NA
41,Closing  trunk,NA
42,Parking,NA
42,Opening trunk,NA
42,Collecting & Loading of small trash,NA
42,Slit-Container: Emptying,NA
42,Slit-Container: Sack Replacement,NA
42,Recycling,NA
42,Cleaning ground,NA
42,Cleaing oil station,NA
42,Mobbing ground with broom,NA
42,Closing  trunk,NA
43,Parking,NA
43,Opening trunk,NA
43,Collecting & Loading of small trash,NA
43,Slit-Container: Emptying,NA
43,Slit-Container: Sack Replacement,NA
43,Recycling,NA
43,Cleaning ground,NA
43,Cleaing oil station,NA
43,Mobbing ground with broom,NA
43,Closing  trunk,NA
44,Parking,NA
44,Opening trunk,NA
44,Collecting & Loading of small trash,NA
44,Slit-Container: Emptying,NA
44,Slit-Container: Sack Replacement,NA
44,Recycling,NA
44,Cleaning ground,NA
44,Cleaing oil station,NA
44,Mobbing ground with broom,NA
44,Closing  trunk,NA
45,Parking,NA
45,Opening trunk,NA
45,Collecting & Loading of small trash,NA
45,Slit-Container: Emptying,NA
45,Slit-Container: Sack Replacement,NA
45,Recycling,NA
45,Cleaning ground,NA
